# Date	Open	High	Low	Close	Volume	MA200	MA50	EMA26	EMA13	FastMACD	SlowMACD	MACDHistogram	ImpulseIndex	CloseSlope	CloseMin14	CloseMax14	FastStochasticK	FastStochasticD	SlowStochasticK	SlowStochasticD
2013-03-21	26.162109	26.259766	25.869141	20.967970	1141700	17.9889	22.1764	21.6941	21.5634	-0.142863	-0.129498	-0.0133648	-1	-0.465252	20.431744	22.395273	27.3093	41.9009	41.9009	56.448
2013-03-22	26.357422	26.679688	26.250000	21.433222	2017500	18.0208	22.1825	21.6747	21.5448	-0.141691	-0.131937	-0.0097542	0	0.465252	20.920656	22.395273	34.7593	37.9562	37.9562	45.3419
2013-03-25	26.621094	26.650391	25.507813	20.818142	2602500	18.0495	22.1638	21.6113	21.441	-0.188224	-0.143194	-0.04503	-1	-0.61508	20.818142	22.395273	0	20.9119	20.9119	34.1393
2013-03-26	25.869141	26.093750	25.791016	20.975855	1922600	18.0749	22.1497	21.5642	21.3745	-0.209956	-0.156547	-0.0534092	-1	0.157713	20.818142	22.395273	9.99999	14.4804	14.4804	25.0524
2013-03-27	25.488281	26.054688	25.429688	20.960085	2622700	18.0989	22.1302	21.5195	21.3153	-0.225847	-0.170407	-0.0554406	-1	-0.01577	20.818142	22.395273	9.00008	6.33336	6.33336	14.0428
2013-03-28	25.917969	25.976563	25.527344	20.660429	1213300	18.1224	22.1032	21.4558	21.2218	-0.259629	-0.188251	-0.0713773	-1	-0.299656	20.660429	22.395273	0	6.12906	6.12906	8.9098
2013-04-01	25.605469	25.693359	25.322266	20.628885	985200	18.1476	22.0756	21.3946	21.1371	-0.285653	-0.207732	-0.0779212	-1	-0.031544	20.628885	22.395273	0	2.79505	2.79505	5.04294
2013-04-02	26.240234	26.240234	25.976563	21.062599	1672900	18.175	22.0527	21.37	21.1264	-0.268189	-0.219823	-0.0483656	0	0.433714	20.628885	22.395273	24.5537	8.23359	8.23359	5.74538
2013-04-03	26.132813	26.191406	25.615234	20.818142	1638700	18.2011	22.0202	21.3291	21.0824	-0.27095	-0.230048	-0.0409019	0	-0.244457	20.628885	22.395273	10.7144	11.756	11.756	7.66134
2013-04-04	25.361328	25.566406	25.048828	20.431744	2062500	18.2326	21.9734	21.2626	20.9894	-0.30085	-0.244209	-0.0566414	-1	-0.386398	20.431744	22.395273	0	11.3344	11.3344	10.4566
2013-04-05	25.244141	25.859375	25.117188	20.849684	1345300	18.2625	21.9433	21.232	20.9695	-0.287507	-0.252868	-0.034639	0	0.41794	20.431744	21.772306	31.1765	11.9751	11.9751	11.68
2013-04-08	25.468750	25.664063	25.273438	20.707743	1022800	18.2941	21.8978	21.1932	20.9321	-0.2851	-0.259315	-0.0257854	0	-0.141941	20.431744	21.433222	27.5592	16.1172	16.1172	12.9375
